| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    27W /  70W |    590MiB / 15109MiB |      5%      Default |
| N/A   42C    P0    27W /  70W |      0MiB / 15109MiB |      5%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |     13%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   42C    P0    26W /  70W |      0MiB / 15109MiB |      0%      Default |
