| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
