| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    26W /  70W |   3752MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    28W /  70W |   1178MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    28W /  70W |      0MiB / 15109MiB |     53%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |     24%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   41C    P0    27W /  70W |      0MiB / 15109MiB |      0%      Default |
